Flaeche;BaumNr;Gattung;Art;Sorte;NameDeutsch;Hoehe;Schirmdurchmesser;Stammumfang;Typ;XPos;YPos;lon;lat
0;0;ZumTesten;0;0;20200806;0;0;0;0;70000;350000;14.2757549011313;48.2844031941041
708;012a;Tilia;cordata; -;Winter-Linde;5;3;25;L;71139;351492;14.2913503578498;48.2976925965220
155;052;Carpinus;betulus; -;Hainbuche;8;3;70;L;70708;348007;14.2849596941538;48.2664037733305
142;002;Catalpa;bignonioides; -;Trompetenbaum;3;2;40;L;70312;349251;14.2798342806869;48.2776338541608
155;036;Quercus;robur; -;Stiel-Eiche;14;5;130;L;70751;348026;14.2855474653939;48.2665662244416
4208;019;Magnolia;kobus; -;Baum-Magnolie (weiß);6;2;26;L;73012;355426;14.3172747962171;48.3328532740482
711;017a;Koelreuteria;paniculata; -;Blasenbaum;2;1;12;L;70430;350655;14.2816594605635;48.2902493031797
792;060b;Juglans;nigra; -;Schwarznuss;2;1;4;L;69903;351923;14.2747656542719;48.3017025219183
194;011;Tilia;cordata; -;Winter-Linde;14;6;160;L;71044;348606;14.2895827984488;48.2717495189682
194;017;Tilia;cordata; -;Winter-Linde;14;10;180;L;70983;348603;14.2887607952950;48.2717358956723
194;021;Tilia;cordata; -;Winter-Linde;12;6;150;L;71032;348590;14.2894271311735;48.2716103570080
194;026;Tilia;cordata; -;Winter-Linde;14;8;130;L;71109;348593;14.2904568339368;48.2716270703609
821;004;Tilia;cordata; -;Winter-Linde;10;7;140;L;71208;348370;14.2917621954427;48.2696100596659
5024;001;Quercus;rubra; -;Amerikanische Rot-Eiche;5;1;20;L;69902;351224;14.2746301140104;48.2954226322783
28;001;Acer;pseudoplatanus; -;Berg-Ahorn;8;7;99;L;70246;350751;14.2791920007982;48.2911287960858
136;022;Ailanthus;altissima; -;Götterbaum;16;14;200;L;70288;348981;14.2794706659370;48.2752047951897
136;023;Ailanthus;altissima; -;Götterbaum;10;8;1;L;70283;348970;14.2793908284330;48.2751136628100
194;020;Tilia;cordata; -;Winter-Linde;14;6;160;L;71015;348589;14.2891902662724;48.2716070261678
194;030;Tilia;cordata; -;Winter-Linde;8;6;60;L;71180;348595;14.2914181318130;48.2716419038519
820;014;Tilia;cordata; -;Winter-Linde;10;7;170;L;71144;348769;14.2909562387956;48.2732093765830
820;015;Tilia;cordata; -;Winter-Linde;12;5;190;L;71158;348770;14.2911499476209;48.2732146791436
1407;056;Sophora;japonica; -;Japanischer Schnurbaum;5;3;23;L;71505;348502;14.2957747827689;48.2707643283921
194;004;Tilia;cordata; -;Winter-Linde;14;8;150;L;71116;348609;14.2905639469423;48.2717718580078
194;007;Tilia;cordata; -;Winter-Linde;12;6;130;L;71085;348608;14.2901395470146;48.2717661594524
194;008;Tilia;cordata; -;Winter-Linde;14;6;130;L;71074;348607;14.2899979056013;48.2717586386904
194;009;Tilia;cordata; -;Winter-Linde;14;7;150;L;71064;348606;14.2898539606447;48.2717526942855
194;013;Tilia;cordata; -;Winter-Linde;14;6;150;L;71023;348604;14.2893059806545;48.2717410360964
7;195a;Quercus;robur;Purpurea;Rotlaubige Stiel-Eiche;1;1;6;L;73356;355837;14.3219812361167;48.3365088732145
194;014;Tilia;cordata; -;Winter-Linde;14;6;130;L;71013;348606;14.2891652951473;48.2717552892640
